Average of viollevel,,Column Labels,,,,,
Row Labels,neighborhood,2015,2016,2017,2018,2019,Grand Total
Penang,BOSTON,1.3,2.5,1.333333333,1.454545455,,1.529411765
DUNKIN DONUTS(WOLCOTT SQ. LLC),HYDE PARK,,1.842105263,0.75,1.428571429,,1.529411765
Boston Kitchen Pizza,BOSTON,1.75,0,1,2,,1.529411765
21 ST. AMENDMENT,BOSTON,1.666666667,1.307692308,1.580645161,1.540540541,,1.528735632
DAYIB CAFE,ROXBURY,1.666666667,1.256410256,1.434782609,1.634920635,1.5,1.528634361
BOSTON MARKET,BOSTON,1.571428571,0,2.333333333,1.666666667,1,1.681818182
,DORCHESTER,1.5625,1.387096774,1.571428571,1.5,1.533333333,1.5
MIKE'S CITY DINER,ROXBURY,1,1.36,1.555555556,1.875,,1.527777778
Crazy Dough's Pizza,BOSTON,1.461538462,1.424242424,1.842105263,1.617021277,1,1.6
,BRIGHTON,1.428571429,1.705882353,1,1.545454545,1,1.38028169
Restaurant Laura,DORCHESTER,1.333333333,1,1.571428571,3,1.533333333,1.526315789
Feng Shui Restaurant,BRIGHTON,,,,3,1.444444444,1.526315789
El Patio Market,JAMAICA PLAIN,1,1.4,2,1.75,,1.526315789
Boston Living Center,BOSTON,0.888888889,1.666666667,1.307692308,1.611111111,2.5,1.526315789
Hard Rock Cafe,BOSTON,0,1.538461538,1.466666667,1.777777778,1.5,1.525423729
Seven's Ale House,BOSTON,1.7,1.486486486,1.333333333,1.733333333,,1.525
CAFE POLONIA,SOUTH BOSTON,1.454545455,1.8,1.285714286,1.444444444,1.75,1.525
Viva Burrito,BOSTON,0,1.5,1.777777778,1.428571429,,1.523809524
Puro,BOSTON,1.833333333,1,0,1.285714286,,1.523809524
Christo's Pizzeria,WEST ROXBURY,,,,1.523809524,,1.523809524
OPPA SUSHI,ALLSTON,1.444444444,1.695652174,1.307692308,1.5,,1.523076923
LONGWOOD HOTEL CORP.,BOSTON,1.473684211,1.5,1.2,1.909090909,1.6,1.52293578
Il Panino Restaurant,BOSTON,1.12,2,1.461538462,2.333333333,,1.52238806
Foumami,BOSTON,2.4,1.615384615,1.333333333,1.666666667,1,1.52238806
McGreevys,BOSTON,1.588235294,1.453125,1.4,1.65,1.6,1.52195122
Boloco - Berklee,BOSTON,1.75,1.6,0,1.714285714,1,1.52173913
Philadelphia Steak & Hoagie,BOSTON,1.473684211,1.603773585,1.615384615,1.375,,1.521367521
Taste of Eden,DORCHESTER,1.666666667,1.761904762,1,1.466666667,,1.521126761
J & J IRISH PUB & GRILLE,DORCHESTER,1.444444444,1.8125,1.428571429,1.2,1.5,1.520833333
TEN TABLES,JAMAICA PLAIN,1.666666667,1,1.5,1,,1.52
EL CHALAN,EAST BOSTON,1.5,1.235294118,1.673469388,1.714285714,,1.52
Eben-Ezer Market,EAST BOSTON,1.4,1.25,2.333333333,0,,1.52
Landmark Public House,DORCHESTER,,0,1,1.571428571,1.666666667,1.519230769
Taqueria,DORCHESTER,,,1,1.583333333,,1.518518519
Grasshopper Creamery,BOSTON,0,1.428571429,2,1.571428571,,1.518518519
Cafe Madeleine,ROXBURY,1,1.923076923,0,1.307692308,1,1.518518519
La Borinquena Grocery,ROXBURY,1.636363636,1.555555556,1.565217391,1.318181818,,1.517647059
Tarboosh Pizza & Grill,ALLSTON,1.9,1,1,1.666666667,,1.517241379
Dumpling Gourmet,BOSTON,1.443548387,1.333333333,1.75,1.6,1,1.517073171
Cafe Med,BOSTON,1.363636364,1.923076923,1.662921348,1,,1.517045455
RICCARDO'S RISTORANTE,BOSTON,1.692307692,,1,1.379310345,2,1.516666667
JOE'S AMERICAN BAR & GRILL,BOSTON,1.272727273,1.339622642,1.76,1.823529412,1.666666667,1.516556291
CANTON HOUSE,DORCHESTER,1.391304348,1.711111111,1.47311828,1.375,,1.515789474
Star Market No. 4587,DORCHESTER,0.666666667,1.694444444,1.705882353,1,1.25,1.515463918
SYMPHONY SUSHI,BOSTON,1.538461538,1.571428571,1.677419355,1.285714286,,1.515151515
N.E. Deaconess Hospital Cafe,BOSTON,1.666666667,1.75,1.777777778,1.307692308,0,1.515151515
EMPIRE GARDEN,BOSTON,,,1,1.444444444,2,1.515151515
The Paramount,SOUTH BOSTON,1.333333333,1,1.210526316,1.777777778,,1.514285714
ZELMA LACEY HOUSE,CHARLESTOWN,0.8,0.75,2,1.571428571,,1.514285714
MOOGY'S SANDWICH SHOP INC.,BRIGHTON,3,1,1,1.352941176,1.666666667,1.514285714
G-Mart Supermarket,BOSTON,1.380952381,1.375,1.827586207,1.444444444,,1.514285714
Angela's Cafe,EAST BOSTON,1.285714286,1,1.714285714,2,,1.514285714
Nick's Pizza & Seafood/Broadway Best Pizza,SOUTH BOSTON,1.333333333,1.333333333,1.785714286,1.846153846,,1.513761468
Cafe 472,BOSTON,2.047619048,1.263157895,1.5,1.466666667,,1.513761468
Bonchon Allston,ALLSTON,1.76056338,1.38028169,1.405405405,1.4625,,1.513513514
ATLANTIC FISH COMPANY,BOSTON,1.2,1.3,1.588235294,2.034482759,1,1.513157895
PAD THAI CAFE,BOSTON,,,1.266666667,1.823529412,1.285714286,1.512820513
NUNEZ MARKET,ROXBURY,1.606060606,1.571428571,1.5,1,1,1.512820513
LEGAL SEAFOODS,BOSTON,1.823529412,1.111111111,1.465116279,1.454545455,1.666666667,1.511627907
TALK AND WOK CAFE,HYDE PARK,1.7,1.4375,1.428571429,1.574074074,,1.511450382
S & I TO GO,ALLSTON,2.050847458,1.055555556,1.36,1.285714286,,1.511111111
Right Taste Jamaican Restaurant,MATTAPAN,1.555555556,1.648648649,1.588235294,1.235294118,,1.510638298
Museum of Fine Arts Bravo Restaurant,BOSTON,2.2,1.333333333,1.294117647,1.545454545,,1.510638298
Jim's Restaurant and Deli,BRIGHTON,1.727272727,1,1.285714286,1.666666667,,1.510638298
Caribe Restaurant,DORCHESTER,1.571428571,,1,1.769230769,1.5,1.509803922
Au Bon Pain,BOSTON,1.25,1.258064516,1.818181818,1.712328767,1.714285714,1.509433962
Estragon,BOSTON,1.529411765,1.285714286,1.454545455,1.769230769,,1.509090909
Que Arepa En Tertulias Cafe,EAST BOSTON,,1.407407407,1.375,1.5,2.333333333,1.50877193
NEW HO TOY,SOUTH BOSTON,1.315789474,1.585365854,1.576271186,1.484848485,1.555555556,1.507936508
GARDEN HALAL MEAT MARKET INC.,BOSTON,1.727272727,0.933333333,1.142857143,1.8,1.625,1.506666667
Langham Hotel,BOSTON,1.846153846,1.586206897,1.424242424,0.5,,1.506329114
Trio Cafe,BOSTON,1,1.714285714,1.4,1.941176471,,1.506024096
THE LOWER DEPTHS,BOSTON,1.833333333,1.438596491,1.5,1.5,,1.505882353
Shaw's Supermarket No. 604,MATTAPAN,1.487804878,1.428571429,1,1.620689655,,1.505747126
CHARLIE'S HOUSE OF PIZZA,DORCHESTER,1.756756757,1.382978723,1.387096774,1.8,1.333333333,1.505617978
LA BELLE CAPOISE RESTAURANT,DORCHESTER,1.409090909,1.823529412,,1.516129032,0,1.505376344
Anh Hong Restaurant,BOSTON,,1.5,1.441176471,1.605633803,1.40625,1.502222222
Wichit Sandwich Inc.,BOSTON,,,,,1.5,1.5
Two Brothers Market,EAST BOSTON,1.4,1.375,1.2,2.25,,1.5
Sojuba,BOSTON,,,,1.5,,1.5
TAQUERIA JALISCO,EAST BOSTON,1.090909091,1.875,1.666666667,2,,1.5
STEPHANIE'S,EAST BOSTON,1.166666667,1.8,0.923076923,1.777777778,3,1.5
SUNRISE RESTAURANT,MISSION HILL,1.625,1.642857143,1.25,1.4,,1.5
Zo Truck,BOSTON,0.666666667,0,2.333333333,3,,1.5
SODEXO @ FOLEY  HOAG & ELIOT,BOSTON,1,1,0,2,,1.5
The Bite,CHARLESTOWN,,,1.5,1.5,,1.5
The Dining Car No. 2,BOSTON,,0,1,1.666666667,,1.5
Terrace Cafe,BRIGHTON,0,1.8,1,2.333333333,,1.5
THE GRYPHON HOUSE,BOSTON,0.5,3,1,1,,1.5
Steve & Kates Camp @ Winsor Sch.,BOSTON,,1.8,0,,,1.5
Levy Premium Food Court 3,BOSTON,1,1,2,1,,1.5
Serafina Boston,BOSTON,0,1.666666667,1.571428571,1,,1.5
Rina's,BOSTON,1.392857143,,1.857142857,1.545454545,,1.5
Rincon Caribeno Restaurant,HYDE PARK,,,,1.5,,1.5
Saratoga Convenience,EAST BOSTON,1.545454545,0,1,1.5,1.666666667,1.5
Lola Burger,BOSTON,,,,1.5,,1.5
NANNING WOK,SOUTH BOSTON,1.282608696,1.262295082,1.488888889,1.75,,1.5
MOBYDICK,BOSTON,2,0,0,2.2,1,1.5
Locale,BOSTON,0,1.8,,1,,1.5
Myung Dong 1st Ave,ALLSTON,1,1.1,2,1.888888889,,1.5
Royce Chocolate,BOSTON,,1,1,1.8,,1.5
Dumpling King,BOSTON,1.666666667,1.444444444,1.428571429,0.666666667,,1.5
ISLAND STYLE INC.,DORCHESTER,1.2,1.666666667,1.727272727,1.571428571,1.666666667,1.5
Franciscan Children's Cafe,ALLSTON,,1,1.111111111,1.875,1.666666667,1.5
Hoshi Ya,BRIGHTON,,,,,1.5,1.5
Fiskie's Cafe,DORCHESTER,,,,1.5,,1.5
DUNKIN DONUTS/PLAZA ENT,BOSTON,0,1,1.8,1.454545455,2,1.5
Fenway Johnnie's,BOSTON,,,,1.5,,1.5
Gateway Newstand,BOSTON,,,0,0,3,1.5
Fuku,BOSTON,,,,0,1.8,1.5
It's A Fish Thing & More,BOSTON,,,0,1.666666667,1.666666667,1.5
Fiouna's,BOSTON,0.888888889,2,1,2,,1.5
ERIC LINDEMAN,BOSTON,0,1.222222222,1.702702703,1.461538462,,1.5
Hare Krishna Food For Life,BOSTON,1,1,2,2,,1.5
Durgin Park,EAST BOSTON,1,1,1.666666667,1.666666667,,1.5
BM1: BON ME YELLOW,BOSTON,1.333333333,0,2,1,,1.5
Charlestown Recovery House,CHARLESTOWN,,,0.8,2.2,,1.5
COMFORT INN BOSTON,DORCHESTER,1,0,1,1.8,,1.5
Cupcake City,BOSTON,0,0,3,,,1.5
BM CART1:BON ME YELLOW CART,BOSTON,,,0,1.578947368,,1.5
Ashburton Cafe,BOSTON,1,1.5,0.8,1.727272727,,1.5
Bean & Leaf Cafe,BOSTON,2,2.333333333,2,1.133333333,,1.5
Cosi No. 312 (Hood Park Cafe),CHARLESTOWN,,,,0,3,1.5
BTM Employee Micro Market,BOSTON,,,0,0,3,1.5
Assaggio,BOSTON,,,0,2,,1.5
Academy Market,ROXBURY,1,1.5,1,1.571428571,1.875,1.5
Daily Catch,BOSTON,1.5,1,1.727272727,1.75,,1.5
Aqua Pazza,BOSTON,0,1,0,2,,1.5
Vejigamtes Restaurant,ROXBURY,1.411764706,1.602739726,1.444444444,1.423076923,2,1.497695853
DILLON'S,BOSTON,1.823529412,1.357142857,1.549019608,1.166666667,,1.496688742
Zumas Tex-Mex Grill,BOSTON,1,1.453125,1.58974359,1.666666667,1.375,1.496644295
Piperi Restaurant,BOSTON,1,1.238095238,1.8,1.590909091,,1.496124031
New Saigon Restaurant,EAST BOSTON,1,1.576923077,1.583333333,1.780487805,,1.495934959
Delicias Del Caribe,DORCHESTER,1,1.611111111,1.352941176,1.727272727,1.529411765,1.495798319
Thai Place Restaurant,ALLSTON,1.727272727,1.375,1.2,1.542857143,,1.494949495
Carrie Nation,BOSTON,1.142857143,1.315789474,1.914285714,1.235294118,,1.494736842
Wahlburgers,BOSTON,2.166666667,1.4,1.444444444,1.333333333,2,1.529411765
,DORCHESTER,,,,0,,0
,EAST BOSTON,,2.083333333,1.222222222,1,0,1.484848485
STASH'S PIZZA,DORCHESTER,1.549019608,1.8,0,0.833333333,1.4,1.493150685
Hyde Park Market,MATTAPAN,1.5,1.363636364,1.461538462,1.6,,1.493150685
Tostado LLC,ROSLINDALE,1.8,0.666666667,1.4,1.470588235,1.571428571,1.492957746
Familia Grocery,WEST ROXBURY,0.666666667,1.571428571,1.666666667,1.533333333,1.444444444,1.492957746
Casa Colombia Rest. Ice Cream & Bakery,EAST BOSTON,1.254545455,1.740740741,1.19047619,2,1.736842105,1.492753623
GROTTO,BOSTON,0,1.303030303,1.631578947,1.857142857,,1.492537313
Pasta Beach,BOSTON,2.142857143,1.4,1.363636364,1,,1.492307692
Vintage Lounge,BOSTON,1.888888889,1.48,1.166666667,1.125,,1.492063492
Rondo's Sub Shop,SOUTH BOSTON,0.909090909,1.40625,1,2.285714286,,1.491803279
Dirty Water Dough Company,BOSTON,1.352941176,1.666666667,1.571428571,1.714285714,,1.491803279
Charley's Philly Steak,BOSTON,1.909090909,1.6,1.25,1,1,1.491803279
LUCKY CAFE,DORCHESTER,1.285714286,1.979591837,1.421052632,1.142857143,1.428571429,1.49122807
Golden Star Restaurant,DORCHESTER,2.5,1.142857143,1.357142857,1.625,1.555555556,1.49122807
EL KIOSCO,EAST BOSTON,1.294117647,1.3125,1.692307692,1,2.142857143,1.490909091
El Caribeno Restaurant,ROXBURY,,,1.441176471,1.6,1.5,1.490909091
Pho Common,BOSTON,,1.285714286,1.888888889,1.466666667,,1.490566038
Cafe Mamtaz,SOUTH BOSTON,1.352941176,1.666666667,1.285714286,1.8,,1.490566038
LUCKY'S LOUNGE,EAST BOSTON,1.463414634,1.444444444,1.5,1.571428571,,1.490384615
Espresso Love Cafe,BOSTON,3,1.52173913,1.375,1.3,,1.490196078
BALE RESTAURANT,DORCHESTER,1.454545455,1.606060606,1.551724138,1.422222222,1,1.489878543
Rodey Pizza & Pasta,BOSTON,0,1.375,0.5,1.7,1.666666667,1.488888889
La Gran Manzana,EAST BOSTON,1.157894737,1.583333333,1.4,2,2.2,1.488888889
Acapulco Mexican Restaurant,JAMAICA PLAIN,1.769230769,1.666666667,1.222222222,1,,1.488888889
Jade Garden Restaurant,BOSTON,1.545454545,1.340909091,1.8,1.6,0,1.488549618
Saigon One Restaurant,DORCHESTER,1.384615385,1.610169492,1.45,1.414634146,,1.487951807
Massachusetts Eye & Ear EyeOpener Cafe,BOSTON,0.5,1.5,1.666666667,1.666666667,1.333333333,1.487804878
WAI WAI ICE CREAM SHOP,BOSTON,1.48,1.8,1.5,0,0,1.486486486
J.M.P. FINE INDIAN CUISINE,ALLSTON,1,1,1.333333333,1.875,,1.486486486
Back Bay Social Club,BOSTON,1.423076923,1.462686567,2.333333333,1.545454545,,1.485981308
Ristorante Toscano Inc.,BOSTON,1.545454545,1.75,1,0.5,,1.485714286
VENEZIA RESTAURANT (HARBOR LIGHTS),DORCHESTER,1.277777778,1.5,1.5,1.705882353,1.473684211,1.485436893
DICK'S LAST RESORT,BOSTON,2,1.111111111,1.545454545,1.666666667,,1.484848485
La Parrilla,DORCHESTER,,1.391304348,1.76,1.222222222,,1.484848485
Sweet Life Bakery and Cafe,DORCHESTER,1.615384615,1.216216216,1.818181818,1.52,,1.484536082
Villa Specialties,EAST BOSTON,1.090909091,1.8,1.5,3,2,1.483870968
Totto Ramen,ALLSTON,1.666666667,1,1.2,1.625,,1.483870968
TOPASIO RESTAURANT,EAST BOSTON,1.272727273,1.333333333,2,1.823529412,,1.483516484
M.J. O'CONNOR'S,BOSTON,1.782608696,1.4,1.444444444,1.285714286,,1.483516484
Miyuki Sushi,BRIGHTON,,1,1.571428571,1.526315789,1.142857143,1.483333333
Mei Mei Restaurant,BOSTON,1.714285714,1.25,1.333333333,1.2,,1.482758621
BOSTON & MAINE FISH CO.,BOSTON,0,2.142857143,0.875,1.818181818,1,1.482758621
CHINA SEA RESTAURANT,MATTAPAN,1.424242424,1.4,1.348837209,1.689655172,,1.482233503
HIEN VUONG RESTAURANT,DORCHESTER,1.785714286,1.5,1.222222222,1.432432432,1,1.482142857
Boston Harbor Hotel,BOSTON,0,1.555555556,1.612903226,1,,1.482142857
Supreme House of Pizza,SOUTH BOSTON,0,1.540540541,1.25,1.583333333,1.75,1.481818182
Twelve Bens,DORCHESTER,1.372093023,1.518518519,1.333333333,1.695652174,1.6,1.481818182
O'Brien's Liquor,BOSTON,0,1.25,1.5,1.8,,1.481481481
Royale,BOSTON,1.25,1.466666667,,1.578947368,1,1.481012658
Basho Japanese Brasserie,BOSTON,1.416666667,1.333333333,1.533333333,1.666666667,1,1.480769231
THE POINT,BOSTON,1.482758621,1.571428571,1.416666667,1.8,0,1.480392157
Loui Loui,ALLSTON,,,1.5,1.476190476,,1.48
Pete's Dockside,BOSTON,1,1.8,1.5,1,,1.48
EMMETS IRISH PUB,BOSTON,0,1.19047619,1.307692308,1.736842105,,1.479452055
Maverick Marketplace,EAST BOSTON,1.733333333,1.235294118,1.2,2,,1.479166667
Whole Heart Provisions  LLC,ALLSTON,0,2.2,1,1,,1.47826087
JA Fernandez,ROXBURY,1,1.333333333,0,2,,1.47826087
D'Guru,BOSTON,0,2,1.333333333,1.4,1.5,1.47826087
BAZAAR ON CAMBRIDGE ST.,ALLSTON,2.1,1.484536082,1.142857143,1.52,,1.47826087
HONG KONG CHEF,DORCHESTER,1.375,1.416666667,1.230769231,1.680851064,,1.477876106
PERKIN'S SQ DELI,SOUTH BOSTON,1,1.8,1.307692308,1.615384615,,1.47761194
FIG'S,BOSTON,1.6875,1.239130435,1.5,1,,1.401960784
,CHARLESTOWN,1.368421053,1.625,2,1.888888889,,1.578947368
New Jumbo Seafood,BOSTON,1.390243902,1.857142857,1.6,1.6,,1.477477477
L.A. Burdick Chocolate,BOSTON,2,1.7,1,1.285714286,,1.477272727
The Porter Cafe,WEST ROXBURY,1.5,1,1.8,1,,1.476190476
North Square Oyster,BOSTON,,,1.266666667,2,,1.476190476
PORTER BELLY'S,BRIGHTON,1.333333333,1.476190476,1.666666667,1,,1.476190476
Maverick Street Market,EAST BOSTON,1.428571429,1.5,1.5,1.5,,1.476190476
Au Bon Pain Store No.  41,BOSTON,1.4,1.571428571,0.5,1.636363636,,1.475409836
B. Good,BOSTON,1.342105263,1.59375,1.681818182,1.464285714,1,1.475113122
Sterlings,BOSTON,1,1.5,0,1.571428571,1.8,1.474576271
Swissbakers,ALLSTON,1.4,1,1,1.285714286,,1.307692308
,BOSTON,0,1.8,1.7,2,1,1.606060606
Kapow,DORCHESTER,1.375,1.8125,1.176470588,1.538461538,,1.474452555
Tony C's Sports Bar & Grill,BOSTON,1.72,1.418181818,1.65,1.5,,1.551470588
,SOUTH BOSTON,0,0.8,1,0.888888889,3,0.95
SODEXO U MASS FOOD COURT,DORCHESTER,0.909090909,1.625,1.818181818,1,,1.474358974
PHO 2000,DORCHESTER,1.428571429,1.666666667,1.315789474,1.421052632,1.625,1.474358974
State Street Express @MBTA State St. Line,BOSTON,0,1.8,0,1.666666667,0,1.473684211
Tip Tap Room,BOSTON,1.333333333,1.375,1.142857143,1.642857143,,1.473684211
Dudley Food Market,ROXBURY,,1,1.5,1.75,1.666666667,1.473684211
CHINA MAXIM III,BRIGHTON,1.8,1.142857143,1.428571429,1.428571429,,1.473684211
NEW CHINA RESTAURANT,BOSTON,1.310344828,1.346153846,1.380952381,1.826086957,1.615384615,1.473214286
CHINATOWN EXPRESS INC.,MATTAPAN,1.615384615,1.472727273,1.45,1.37037037,,1.472972973
Red Line Pizza and Grill,SOUTH BOSTON,1.5,1.607843137,1.222222222,1.428571429,1.444444444,1.472868217
Regina Pizza of Allston,BRIGHTON,1.8,1.279069767,1.166666667,1.612903226,,1.472440945
Cask N Flagon,BOSTON,1.837209302,1.375,1.25,1.166666667,,1.471544715
American Food Basket,HYDE PARK,1.69,1.35,1.25,1.2,,1.471428571
Su Su Gourmet,BOSTON,,2,1.428571429,1.285714286,,1.470588235
Next Step Soul Food Cafe,DORCHESTER,,1,1.333333333,1.7,,1.470588235
Athan's European Bakery,BRIGHTON,1.727272727,1.385964912,1,1.564102564,,1.470588235
Back Deck,BOSTON,1,1.266666667,0.8,2,1,1.469387755
Red Hat Cafe,BOSTON,0,1.5,1.571428571,1.466666667,,1.469135802
L STREET DINER,SOUTH BOSTON,1.1,1.553571429,1.467532468,1.583333333,,1.468926554
AMRHEIN'S,SOUTH BOSTON,1.5,1.163636364,1.357142857,1.821428571,1,1.46875
Barcelona Restaurant,BOSTON,1.25,1.380952381,1.551724138,1.5,,1.468468468
Ned Devine's,BOSTON,1.666666667,1.5,1.416666667,1.4,,1.467741935
Chipotle Mexican Grille,BOSTON,1.818181818,1.4,1.534883721,1,1,1.467532468
UGIS SUBS,ROXBURY,1.545454545,1,0.666666667,1.5,1.571428571,1.467391304
Restaurant Y Cafeteria Los Nietos,DORCHESTER,,,1.777777778,1,,1.466666667
AL'S STATE ST. CAFE,BOSTON,1.8,1.408163265,1.638297872,1.326530612,,1.466666667
Boston Marriott Longwharf,BOSTON,0,1.833333333,1.4,0.5,,1.466666667
South End Pita,ROXBURY,1,1.705882353,1.454545455,1.454545455,2,1.465753425
ANCHOVIES RESTAURANT,BOSTON,1.428571429,1,1.625,1.923076923,,1.465753425
Boloco,BOSTON,1.5,1.510638298,1.8,1.23880597,0,1.465240642
WORLD TRADE CENTER,BOSTON,1,2,0.4,1.538461538,1.769230769,1.465116279
Caffe Vittoria,BOSTON,1.666666667,0.909090909,0.5,1.888888889,,1.465116279
River Grille Restaurant & Cafe Inc.,HYDE PARK,1.666666667,1.48,1.272727273,1.363636364,,1.464646465
Tasty Burger Back Bay,BOSTON,1.538461538,1.692307692,1.5,1.3125,1,1.464285714
Yuen Barbeque Restaurant,DORCHESTER,1.6875,1.517241379,1.391304348,1.344262295,1.5,1.464114833
Pizzeria Regina,BOSTON,1.166666667,1.571428571,1,1.730769231,1.25,1.463768116
AL DENTE RISTORANTE,BOSTON,1.3125,1.5,1.909090909,1.416666667,,1.463636364
DUNKIN DONUTS/GALLERIA,BOSTON,1.5,2.5,1,1.363636364,0,1.463414634
FARAH'S CAFE RESTAURANT,HYDE PARK,1.5625,1.382978723,1.571428571,1.372093023,,1.463414634
SUSHI TIME,BOSTON,2,1.888888889,1.333333333,0.923076923,1,1.462962963
El Dugout,DORCHESTER,1.71875,1.173913043,1.4,1.461538462,,1.462184874
MAX'S DELI CAFE,BOSTON,2.5,1.25,1.8,1,,1.461538462
LOS ARRIEROS REST,EAST BOSTON,1.306451613,1.727272727,2.333333333,0,,1.461538462
Moody's Delicatessen & Provisions,BOSTON,,,0,1.608695652,0.5,1.461538462
Compliments Food Co. No. 2,BOSTON,,,0,1.52,,1.461538462
Buco Trattoria,BOSTON,1,1,1.454545455,1.8,,1.461538462
Nu Flav Restaurant,DORCHESTER,1.441176471,1.450980392,1.166666667,1.628571429,1.666666667,1.461139896
Pho Hoa Restaurant,DORCHESTER,1.133333333,1.512820513,1.571428571,1.476190476,,1.460829493
GRILL 23 AND BAR,BOSTON,1.6,1.4,1.3,1.375,,1.46031746
Bruegger's,WEST ROXBURY,0.666666667,1.380952381,1.791666667,1.368421053,1.428571429,1.46
AFC Sushi @ Walgreens No. 15390,BOSTON,2.153846154,1.333333333,0,1.25,0,1.459459459
Great Chef,EAST BOSTON,1.041666667,1.585365854,1.875,1.571428571,,1.459259259
Boston Common Coffee Co.,BOSTON,1.714285714,1.41025641,1.555555556,1.461538462,1.125,1.459016393
Little Caesars,ROSLINDALE,1.84375,1.536585366,1.296296296,1.3,,1.458823529
Shaw's Supermarkets No. 602,BOSTON,1.36,1.791666667,1.342857143,1.405063291,1,1.458715596
Oath Craft Pizza,BOSTON,0,0.5,1.2,1.866666667,0,1.458333333
Lucy's American Tavern,DORCHESTER,,1.142857143,1.341463415,1.652173913,1.666666667,1.458333333
Potluck Cafe,BOSTON,,1.48,1.380952381,2,,1.458333333
D Coal Pot,HYDE PARK,1.3,1.625,1.444444444,1.384615385,,1.458333333
Ma La Restaurant,ALLSTON,1.272727273,1.222222222,1.625,1.615384615,1.3,1.457943925
P & R ICE CREAM,MATTAPAN,1.545454545,1.424242424,1.6,1,,1.457831325
JENNY'S PIZZA,CHARLESTOWN,1.489795918,1,1,2,,1.457627119
Peet's Coffee & Tea,BOSTON,1,1.75,1.584615385,1.384615385,0,1.503311258
,ROXBURY,0,0,1.428571429,0,1,0.923076923
Zaz Restaurant,HYDE PARK,1.48,1.642857143,1.193548387,1.379310345,,1.457142857
Sabor do Brasil,ALLSTON,1,1,1.7,1.7,1.333333333,1.457142857
The Boxer dba Finch,BOSTON,1,1.777777778,1.727272727,1.3,,1.456521739
Mija Cantina and Tequila Bar,BOSTON,0,1.571428571,1.3125,1.487179487,,1.456140351
Vasquez Pizza & Spanish Food,ROXBURY,,1.404761905,1.166666667,1.869565217,1,1.455555556
The Westin Boston Waterfront,BOSTON,1,1,1.333333333,1.727272727,,1.454545455
Tavern Club,BOSTON,2,1,,1.714285714,,1.454545455
Raising Cane's,BOSTON,2,1.333333333,2,0,,1.454545455
Noodles King,BOSTON,,,,1.333333333,1.6,1.454545455
Lucia Ristorante,BOSTON,,0,1,1.75,,1.454545455
Mini Central,DORCHESTER,0,1,1,2.5,,1.454545455
Emmanuel College,BOSTON,1.5,1.7,0.5,1.357142857,1.285714286,1.454545455
Haju Kitchen,BOSTON,,,,1.454545455,,1.454545455
HARBOR PACIFIC,EAST BOSTON,,0,1.302325581,1.636363636,,1.454545455
Chequers Coffee Express,ROXBURY,0,3,0,0.5,0,1.454545455
Bennetts Sandwich Shop,BOSTON,,,1,1.555555556,,1.454545455
Coffee Cup (Ashmont Station southbound side),DORCHESTER,0,1.628571429,1,0.5,,1.454545455
Bastille Kitchen,BOSTON,1,0,1,1,2.5,1.454545455
Basho Japanese Sushi@B.U.(G.S.U.),BOSTON,3,1,1.545454545,1.285714286,,1.454545455
BEST BARBECUE KITCHEN,BOSTON,1.352941176,1.588235294,1.586206897,1.469387755,,1.45398773
CAROL ANN BAKE SHOP,BOSTON,1,1.424242424,1.705882353,1.230769231,,1.453608247
Gather,BOSTON,1,1.333333333,1.571428571,1.714285714,,1.453333333
Blue Hill Market,MATTAPAN,,1,2,1.322580645,,1.452830189
Nino's Pizza,BOSTON,1.769230769,,1.421052632,1.1,,1.452380952
Buk Kyung No.  2,ALLSTON,2,1.571428571,1.272727273,1,,1.452380952
WHOLE FOODS MARKET(Cambridge St.),BOSTON,1.4,1.586206897,1.461538462,1.454545455,1.1,1.452229299
South End Buttery(314 Shawmut Ave.),ROXBURY,1.555555556,0.5,2,2,,1.451612903
Tropic Food Market,DORCHESTER,1.41025641,1,1.571428571,1.5,,1.450704225
MAGIC WOK RESTAURANT,DORCHESTER,1.285714286,1.448979592,1.583333333,1.416666667,,1.45045045
SID'S SMOKE SHOP,BOSTON,1.666666667,1.35,0,1.6,,1.45
SUSAN'S DELI OF COURSE,BOSTON,1,2.333333333,0,0,,1.45
Museum of Fine Arts-Taste D/B/A No. 19285,BOSTON,2,2,0.8,0.333333333,,1.45
HILTON BOSTON FINANCIAL DISTRICT,BOSTON,1.6,1.666666667,0,0,,1.45
El Fongon Restaurant,DORCHESTER,1.25,1.740740741,1.8,1,,1.449438202
Panera Bread,BOSTON,0,1.546511628,1.704545455,1.389830508,1.27027027,1.484581498
,DORCHESTER,,1,1,1.111111111,,1.05
Jeveli's,EAST BOSTON,1.117647059,2,1.222222222,2.090909091,0,1.449275362
KELLEY'S SQ. PUB,EAST BOSTON,1.342105263,2.142857143,1.5,1.333333333,,1.449275362
Saturday Afternoon/Ramrod,BOSTON,2,1.588235294,1.142857143,1,1.4,1.448979592
Top Griyo,DORCHESTER,1.4,1.315789474,1.625,1.5,,1.448275862
O YA RESTAURANT,BOSTON,1.5,1.6,0,0,,1.448275862
Sa Pa,BOSTON,,1.75,1.285714286,1.428571429,,1.448275862
Scholars Restaurant,BOSTON,2.333333333,1.533333333,1.37037037,1,,1.447368421
Double Tree Guest Suites,ALLSTON,1.666666667,1,0,1.434782609,,1.447368421
